Name,Rarity,Card_ID,Set_ID,Set_Name,Chinese_Tier,Chinese_Wave,Licensed_Manufacturer,Region,Release_Date
Anko Mitarashi,UR,NRSA02-UR-004L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Might Guy,UR,NRSA02-UR-005L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Naruto Uzumaki,UR,NRSA02-UR-006L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Neji Hyuga,UR,NRSA02-UR-007L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Kiba Inuzuka,UR,NRSA02-UR-008L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Hiruzen Sarutobi,UR,NRSA02-UR-009L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Ibiki Morino,UR,NRSA02-UR-010L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Temari,UR,NRSA02-UR-011L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Gaara,UR,NRSA02-UR-012L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Rock Lee,UR,NRSA02-UR-013L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Jiraiya,UR,NRSA02-UR-014L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Sasuke Uchiha,UR,NRSA02-UR-015L3,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Haku,SSR,NRSA01-SSR-001L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Naruto Uzumaki,SSR,NRSA01-SSR-002L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Sasuke Uchiha,SSR,NRSA01-SSR-003L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
